Class,AP@0.5,Precision,Recall,F1,AUC,Accuracy
Ants,0.045977010965099485,0.11538461094674572,0.034482758224336114,0.05309698989976668,0.3915683354336121,0.02727272702479339
Bees,0.06818181663083049,0.06122448854643901,0.06818181663223144,0.06451562909392078,0.45031712473572943,0.03333333296296297
Beetles,0.04853582062339907,0.0937499970703126,0.06818181663223144,0.07894687881187439,0.45246652572233964,0.04109588984800151
Caterpillars,8.335417033386465e-05,0.09999999000000101,0.01075268805642271,0.019417300029848275,0.42157393375189434,0.009803921472510574
Earthworms,1.9904458085267162e-05,0.0,0.0,0.0,0.3803929121725732,0.0
Earwigs,9.990028669507656e-05,0.07999999680000013,0.027397259898667675,0.040815945651180636,0.46074986657178435,0.020833333116319446
Grasshoppers,9.04110457899108e-06,0.09090908264462885,0.018181817851239675,0.03030275160951171,0.4980498996271867,0.015384615147928998
Moths,0.08510638116544819,0.06249999804687507,0.04255319058397467,0.050632428141103566,0.6954994366010473,0.025974025636700968
Slugs,0.00010856770474930456,0.09999999833333337,0.11764705651672439,0.10810760944956722,0.5005224660397074,0.05714285659863946
Snails,0.03999999919914723,0.04999999750000012,0.01999999960000001,0.028571019597662336,0.5323004694835681,0.014492753413148502
Wasps,0.0010875835084326827,0.11111109876543349,0.021276595291987336,0.03571401467038867,0.6561277921389276,0.018181817851239675
Weevils,0.00013420481098646133,0.024390243307555043,0.017241379013079674,0.020201534548947207,0.6817585660418602,0.010204081528529781
Average,0.024111965385648845,0.07410579183011036,0.03715803152507458,0.04419350845864762,0.5101106106933525,0.022809946216731273
