Class,AP@0.5,Precision,Recall,F1,AUC,Accuracy
Ants,0.02298850548254092,0.032258063475546335,0.01149425274144537,0.01694876487526781,0.40697674418604646,0.008547008473957193
Bees,0.06818181663109547,0.03846153772189351,0.04545454442148763,0.04166616927675009,0.4795806906272022,0.02127659551833409
Beetles,0.02464793933889277,0.11999999520000018,0.06818181663223144,0.08695605713330827,0.46113460183227617,0.04545454476584023
Caterpillars,0.032258064168474085,0.0,0.0,0.0,0.3955040773616223,0.0
Earthworms,1.4450866682398353e-05,0.0,0.0,0.0,0.4145608628659476,0.0
Earwigs,5.448760519600721e-05,0.0,0.0,0.0,0.4728140010674257,0.0
Grasshoppers,2.170335592459369e-05,0.07692307100591762,0.018181817851239675,0.029411454588015595,0.4815027244049326,0.0149253729115616
Moths,0.06382978587418664,0.0,0.0,0.0,0.7144727248624644,0.0
Slugs,0.00012646455474709528,0.08196721177102932,0.09803921376393698,0.08928521668005132,0.49864773495605136,0.046728971525897466
Snails,0.03999999919894198,0.031249999023437534,0.01999999960000001,0.024389767409641584,0.5234428794992175,0.012345678859929892
Wasps,0.0008180684289848308,0.1428571224489825,0.021276595291987336,0.03703681001507195,0.6945714853847683,0.01886792417230332
Weevils,0.00012850388365281986,0.0238095232426304,0.017241379013079674,0.0199995124118674,0.6765260396742991,0.010101009998979697
Average,0.021089149115776636,0.04562721032411979,0.024989134942950672,0.028807812699164503,0.5183112138935212,0.014853925518900293
