Class,AP@0.5,Precision,Recall,F1,AUC,Accuracy
Ants,0.06896551644737758,0.04999999875000003,0.02298850548289074,0.03149563098117189,0.3625653950433421,0.015999999872
Bees,0.022727272210398376,0.03846153698224858,0.022727272210743815,0.028570960823955653,0.4479915433403806,0.014492753413148502
Beetles,0.0002594734736410446,0.06896551486325811,0.04545454442148763,0.05479404016181228,0.5132487667371388,0.028169013687760373
Caterpillars,1.8887560259881472e-06,0.07142856632653098,0.01075268805642271,0.018691360994983766,0.3780941040629285,0.0094339621751513
Earthworms,3.834355726481052e-05,0.0,0.0,0.0,0.45385208012326655,0.0
Earwigs,1.4500877568569635e-05,0.08333332986111125,0.027397259898667675,0.04123674014577477,0.4593933463796478,0.02105263135734072
Grasshoppers,8.263210657622274e-06,0.13333332444444504,0.03636363570247935,0.05714251877748524,0.4515055921995985,0.02941176427335641
Moths,0.06382978587414116,0.05263157617728546,0.021276595291987336,0.030302619381115968,0.7068336978855969,0.015384615147928998
Slugs,1.0174660570617621e-05,0.06451612695109267,0.0392156855055748,0.048780016363841855,0.5373409551908537,0.024999999687500003
Snails,0.019999999599628435,0.0,0.0,0.0,0.5399374021909233,0.0
Wasps,0.0003256606903444715,0.19047618140589612,0.08510638116794934,0.11764662846175251,0.6426393583880162,0.062499999023437516
Weevils,1.7584272322264822e-05,0.06122448854643901,0.05172413703923902,0.05607426884883589,0.7050658505929286,0.028846153568786986
Average,0.01468320530249508,0.0678642203590256,0.030250558731453533,0.040394565411727486,0.5165390076778852,0.020857574350534234
