epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2062.16,1.62925,3.90802,1.75498,0.00405,0.77044,0.10018,0.06079,1.47474,3.89407,1.71538,0.000206944,0.000206944,0.000206944
2,2107.47,1.5488,3.76945,1.68553,0.32926,0.21732,0.09546,0.05759,1.50079,3.53451,1.70652,0.000278236,0.000278236,0.000278236
3,2160.68,1.55004,3.68594,1.69894,0.32957,0.18619,0.09741,0.04868,1.63059,3.63556,1.85113,0.000212028,0.000212028,0.000212028
